"party","constituency","province","language","email","photo"
"Conservative","Haliburton—Kawartha Lakes—Brock","Ontario","English","Jamie.Schmale@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchmaleJamie_CPC.jpg"
"Liberal","King—Vaughan","Ontario","English","Deb.Schulte@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchulteDeb_Lib.jpg"
"Conservative","Dufferin—Caledon","Ontario","English / French","Kyle.Seeback@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SeebackKyle_CPC.jpg"
"Liberal","Nickel Belt","Ontario","English / French","Marc.Serre@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SerréMarc_Lib.jpg"
"Liberal","Humber River—Black Creek","Ontario","English","judy.sgro@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SgroJudyA_Lib.jpg"
"Liberal","Châteauguay—Lacolle","Quebec","English / French","Brenda.Shanahan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShanahanBrenda_Lib.jpg"
"Liberal","Sault Ste. Marie","Ontario","English","Terry.Sheehan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SheehanTerry_Lib.jpg"
"Conservative","Bow River","Alberta","English","Martin.Shields@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShieldsMartin_CPC.jpg"
"Conservative","Port Moody—Coquitlam","British Columbia","English / French","Nelly.Shin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShinNelly_CPC.jpg"
"Conservative","Barrie—Springwater—Oro-Medonte","Ontario","English","Doug.Shipley@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShipleyDoug_CPC.jpg"
"Liberal","Brampton East","Ontario","English","Maninder.Sidhu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SidhuManinder_Lib.jpg"
"Liberal","Brampton South","Ontario","English / French","Sonia.Sidhu@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SidhuSonia_Lib.jpg"
"Liberal","Mississauga—Streetsville","Ontario","English","Gagan.Sikand@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SikandGagan_Lib.jpg"
"Bloc Québécois","Jonquière","Quebec","French","Mario.Simard@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SimardMario_BQ.jpg"
"Liberal","Coast of Bays—Central—Notre Dame","Newfoundland and Labrador","English","scott.simms@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SimmsScott_Lib.jpg"
"NDP","Burnaby South","British Columbia","English","Jagmeet.Singh@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SinghJagmeet_NDP.jpg"
"Independent","Hastings—Lennox and Addington","Ontario","English","Derek.Sloan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SloanDerek_CPC.jpg"
"Liberal","Vaughan—Woodbridge","Ontario","English / French","Francesco.Sorbara@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SorbaraFrancesco_Lib.jpg"
"Conservative","Yellowhead","Alberta","English","Gerald.Soroka@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SorokaGerald_CPC.jpg"
"Liberal","Mississauga—Lakeshore","Ontario","English","Sven.Spengemann@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SpengemannSven_Lib.jpg"
"Conservative","Simcoe North","Ontario","English","bruce.stanton@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/StantonBruce_CPC.jpg"
"Conservative","Regina—Lewvan","Saskatchewan","English","Warren.Steinley@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SteinleyWarren_CPC.jpg"
"Bloc Québécois","Joliette","Quebec","French","Gabriel.Ste-Marie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SteMarieGabriel_BQ.jpg"
"Conservative","Chilliwack—Hope","British Columbia","English","Mark.Strahl@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/StrahlMark_CPC.jpg"
"Conservative","Lakeland","Alberta","English","Shannon.Stubbs@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/StubbsShannon_CPC.jpg"
"Conservative","Flamborough—Glanbrook","Ontario","English","david.sweet@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SweetDavid_CPC.jpg"
"Independent","Kitchener South—Hespeler","Ontario","English","Marwan.Tabbara@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TabbaraMarwan_Lib.jpg"
"Liberal","Hamilton West—Ancaster—Dundas","Ontario","English","Filomena.Tassi@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TassiFilomena_Lib.jpg"
"Bloc Québécois","Montcalm","Quebec","French","Luc.Theriault@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ThériaultLuc_BQ.jpg"
"Bloc Québécois","La Prairie","Quebec","French","Alain.Therrien@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TherrienAlain_BQ.jpg"
"Conservative","Saskatoon—University","Saskatchewan","English","Corey.Tochor@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TochorCorey_CPC.jpg"
"Liberal","Papineau","Quebec","French / English","justin.trudeau@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TrudeauJustin_LIB.jpg"
"Bloc Québécois","Longueuil—Saint-Hubert","Quebec","French","Denis.Trudel@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TrudelDenis_BQ.jpg"
"Liberal","Whitby","Ontario","English","Ryan.Turnbull@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TurnbullRyan_Lib.jpg"
"Conservative","Edmonton Mill Woods","Alberta","English","Tim.Uppal@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/UppalTim_CPC.jpg"
"Liberal","Newmarket—Aurora","Ontario","English","Tony.VanBynen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VanBynenTony_Lib.jpg"
"Liberal","Milton","Ontario","English","Adam.vanKoeverden@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VanKoeverdenAdam_Lib.jpg"
"Conservative","Langley—Aldergrove","British Columbia","English","Tako.VanPopta@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VanPoptaTako_CPC.jpg"
"Liberal","Saint Boniface—Saint Vital","Manitoba","French / English","Dan.Vandal@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VandalDan_Lib.jpg"
"Liberal","Ottawa West—Nepean","Ontario","English","Anita.Vandenbeld@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VandenbeldAnita_Lib.jpg"
"Liberal","Spadina—Fort York","Ontario","English / French","Adam.Vaughan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VaughanAdam_Lib.jpg"
"Conservative","Elgin—Middlesex—London","Ontario","English","Karen.Vecchio@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VecchioKaren_CPC.jpg"
"Conservative","Desnethé—Missinippi—Churchill River","Saskatchewan","English","Gary.Vidal@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VidalGary_CPC.jpg"
"Conservative","Peace River—Westlock","Alberta","English","Arnold.Viersen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ViersenArnold_CPC.jpg"
"Bloc Québécois","Beauport—Limoilou","Quebec","French","Julie.Vignola@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VignolaJulie_BQ.jpg"
"Liberal","Parkdale—High Park","Ontario","English / French","Arif.Virani@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ViraniArif_Lib.jpg"
"Conservative","Mission—Matsqui—Fraser Canyon","British Columbia","English","Brad.Vis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VisBrad_CPC.jpg"
"Conservative","Yorkton—Melville","Saskatchewan","English / French","Cathay.Wagantall@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WagantallCathay_CPC.jpg"
"Conservative","Grande Prairie—Mackenzie","Alberta","English","chris.warkentin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WarkentinChris_CPC.jpg"
"Conservative","Saskatoon—Grasswood","Saskatchewan","English","Kevin.Waugh@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WaughKevin_CPC.jpg"
"Conservative","Calgary Confederation","Alberta","English","Len.Webber@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WebberLen_CPC.jpg"
"Liberal","West Vancouver—Sunshine Coast—Sea to Sky Country","British Columbia","English","Patrick.Weiler@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WeilerPatrick_Lib.jpg"
"Liberal","North Vancouver","British Columbia","English","Jonathan.Wilkinson@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WilkinsonJonathan_Lib.jpg"
"Conservative","New Brunswick Southwest","New Brunswick","English / French","John.Williamson@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WilliamsonJohn_CPC.jpg"
"Independent","Vancouver Granville","British Columbia","English / French","Jody.Wilson-Raybould@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WilsonRaybouldJody_Ind.jpg"
"Conservative","Richmond Centre","British Columbia","English","alice.wong@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WongAlice_CPC.jpg"
"Liberal","Scarborough—Agincourt","Ontario","English","Jean.Yip@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YipJean_Lib.jpg"
"Liberal","London West","Ontario","English","Kate.Young@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YoungKate_Lib.jpg"
"Conservative","Fort McMurray—Cold Lake","Alberta","English","David.Yurdiga@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YurdigaDavid_CPC.jpg"
"Liberal","Scarborough Centre","Ontario","English","Salma.Zahid@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ZahidSalma_Lib.jpg"
"Liberal","Cumberland—Colchester","Nova Scotia","English / French","Lenore.Zann@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ZannLenore_Lib.jpg"
"Conservative","Prince George—Peace River—Northern Rockies","British Columbia","English","Bob.Zimmer@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ZimmerBob_CPC.jpg"
"Liberal","Pierrefonds—Dollard","Quebec","French / English","Sameer.Zuberi@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ZuberiSameer_Lib.jpg"
